date,type,level
7/13/21,1. Any drought,22.89
7/6/21,1. Any drought,23.57
6/29/21,1. Any drought,66.33
6/22/21,1. Any drought,100
6/15/21,1. Any drought,100
6/8/21,1. Any drought,97.8
6/1/21,1. Any drought,97.8
5/25/21,1. Any drought,100
5/18/21,1. Any drought,100
5/11/21,1. Any drought,100
5/4/21,1. Any drought,100
4/27/21,1. Any drought,100
4/20/21,1. Any drought,100
4/13/21,1. Any drought,94.99
4/6/21,1. Any drought,100
3/30/21,1. Any drought,91.67
3/23/21,1. Any drought,22.36
3/16/21,1. Any drought,0
3/9/21,1. Any drought,0
3/2/21,1. Any drought,0
2/23/21,1. Any drought,0
2/16/21,1. Any drought,0
2/9/21,1. Any drought,0
2/2/21,1. Any drought,3.1
1/26/21,1. Any drought,28.17
1/19/21,1. Any drought,28.17
1/12/21,1. Any drought,28.17
1/5/21,1. Any drought,28.17
12/29/20,1. Any drought,28.05
12/22/20,1. Any drought,28.05
12/15/20,1. Any drought,28.05
12/8/20,1. Any drought,28.05
12/1/20,1. Any drought,31.11
11/24/20,1. Any drought,31.82
11/17/20,1. Any drought,31.82
11/10/20,1. Any drought,32.08
11/3/20,1. Any drought,32.08
10/27/20,1. Any drought,30.76
10/20/20,1. Any drought,100
10/13/20,1. Any drought,100
10/6/20,1. Any drought,78.34
9/29/20,1. Any drought,100
9/22/20,1. Any drought,100
9/15/20,1. Any drought,100
9/8/20,1. Any drought,100
9/1/20,1. Any drought,100
8/25/20,1. Any drought,100
8/18/20,1. Any drought,63.45
8/11/20,1. Any drought,1.11
8/4/20,1. Any drought,0
7/28/20,1. Any drought,0
7/21/20,1. Any drought,0
7/14/20,1. Any drought,0
7/13/21,2. Moderate drought,3.84
7/6/21,2. Moderate drought,4.4
6/29/21,2. Moderate drought,11.17
6/22/21,2. Moderate drought,66.34
6/15/21,2. Moderate drought,66.34
6/8/21,2. Moderate drought,66.34
6/1/21,2. Moderate drought,66.34
5/25/21,2. Moderate drought,71.65
5/18/21,2. Moderate drought,70.53
5/11/21,2. Moderate drought,70.53
5/4/21,2. Moderate drought,100
4/27/21,2. Moderate drought,100
4/20/21,2. Moderate drought,67.56
4/13/21,2. Moderate drought,0
4/6/21,2. Moderate drought,0
3/30/21,2. Moderate drought,0
3/23/21,2. Moderate drought,0
3/16/21,2. Moderate drought,0
3/9/21,2. Moderate drought,0
3/2/21,2. Moderate drought,0
2/23/21,2. Moderate drought,0
2/16/21,2. Moderate drought,0
2/9/21,2. Moderate drought,0
2/2/21,2. Moderate drought,0
1/26/21,2. Moderate drought,0
1/19/21,2. Moderate drought,0
1/12/21,2. Moderate drought,0
1/5/21,2. Moderate drought,0
12/29/20,2. Moderate drought,0
12/22/20,2. Moderate drought,0
12/15/20,2. Moderate drought,0
12/8/20,2. Moderate drought,0
12/1/20,2. Moderate drought,0
11/24/20,2. Moderate drought,0
11/17/20,2. Moderate drought,0
11/10/20,2. Moderate drought,0
11/3/20,2. Moderate drought,0
10/27/20,2. Moderate drought,0
10/20/20,2. Moderate drought,0
10/13/20,2. Moderate drought,0
10/6/20,2. Moderate drought,0
9/29/20,2. Moderate drought,33.34
9/22/20,2. Moderate drought,73.81
9/15/20,2. Moderate drought,73.81
9/8/20,2. Moderate drought,90.81
9/1/20,2. Moderate drought,89.61
8/25/20,2. Moderate drought,17.32
8/18/20,2. Moderate drought,0
8/11/20,2. Moderate drought,0
8/4/20,2. Moderate drought,0
7/28/20,2. Moderate drought,0
7/21/20,2. Moderate drought,0
7/14/20,2. Moderate drought,0
7/13/21,3. Severe drought,0
7/6/21,3. Severe drought,0
6/29/21,3. Severe drought,0
6/22/21,3. Severe drought,11.55
6/15/21,3. Severe drought,43.45
6/8/21,3. Severe drought,43.45
6/1/21,3. Severe drought,43.45
5/25/21,3. Severe drought,43.45
5/18/21,3. Severe drought,43.45
5/11/21,3. Severe drought,0
5/4/21,3. Severe drought,0
4/27/21,3. Severe drought,0
4/20/21,3. Severe drought,0
4/13/21,3. Severe drought,0
4/6/21,3. Severe drought,0
3/30/21,3. Severe drought,0
3/23/21,3. Severe drought,0
3/16/21,3. Severe drought,0
3/9/21,3. Severe drought,0
3/2/21,3. Severe drought,0
